Title,Description,DA - Manuel Collab Brand,Post Type,Post Url,Scrappé - SN Brand,Scrappé - SN Has Paid Placement,DA - Key Account,DA - LookUp - Social Network,Problème (from Data Admin - Brand),Category (from Data Admin - Brand),Manuel - Annotation Checked,Script - Annotation Checked,Manuel - Collab Commerciale,Script - Collab Commerciale,Manuel - Autres marques,Script - Autres marques,Chosen Post
No title,"Marre des doudounes lourdes ? Cette veste Halara est ultra-légère, chaude et super stretch 🧥❄️
Double zip, passe-pouces et poches discrètes : parfaite pour l’hiver !
🎁 10 € offerts dès 99 € avec le code✅carlamr88✅
🔥 -20 % avec le code❤️ carlam13❤️ (non cumulable)
@halara_official @halara_france
#halara_fr #halara #halarapantalon #publicite",HALARA,GraphVideo,instagram.com/p/DSktRv2jM0-/,halara_france,true,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,"@FashionNova
Miss Popular bandage short dress - Black/combined publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DPhB1H_jDSM/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,@FashionNova / Heart Keeper Lace Satin Maxi Dress - Burgundy publicité,FASHIONNOVA,GraphVideo,instagram.com/p/DS24F5XDBon/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"Sofia Satin Maxi Dress - Black/White @FashionNova
Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DSxY34hjNyJ/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,true,,"Fashion Nova ",None,,,true
No title,Joyeux Noël à tous ❤️🎄 @lovelyadventure_  #collab,LOVELYADVENTURE,GraphVideo,instagram.com/p/DSsuIoEjH-Y/,,false,carlamoreau_____,instagram,,Evènementiel,false,,None,None,,,false
No title,Décor by @lovelyadventure_ ❤️🎄 #collab dress by @houseofcb,LOVELYADVENTURE,GraphSidecar,instagram.com/p/DSsrvcjDJwJ/,,false,carlamoreau_____,instagram,,Evènementiel,false,,None,None,,,false
No title,Si féerique ❄️🤍 @lovelyadventure_  #collaboration,LOVELYADVENTURE,GraphVideo,instagram.com/p/DSsYK1CDMZe/,,false,carlamoreau_____,instagram,,Evènementiel,false,,None,None,,,false
No title,"Joyeux Noël à tous ❤️🎄 Ce décor exceptionnel féerique ✨ @lovelyadventure_ 😱 

Je vous souhaite de très belles fêtes, remplies de moments simples, de rires, de partage et de douceur auprès de ceux que vous aimez 🥹
Et j’aimerais aussi avoir une pensée particulière pour toutes les personnes qui vivent cette période seules, ou avec le cœur un peu lourd. Je vous envoie beaucoup d’amour et de chaleur, et je vous serre fort par la pensée. 🤍🎄 #collaboration",LOVELYADVENTURE,GraphVideo,instagram.com/p/DSr-whnjOTI/,,false,carlamoreau_____,instagram,,Evènementiel,false,,None,None,,,false
No title,@FashionNova 👉🏻Sarai Bandage Long Sleeve Flare Jumpsuit - Black/White publicité,FASHIONNOVA,GraphSidecar,instagram.com/p/DSiWkHejGQ4/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"Brunch mood activé 🥐☕️
Direction Le Café Pierre pour un moment cosy comme on les aime… et surtout une formule brunch à 27€ qui met tout le monde d’accord 🤍
Du frais, du gourmand, du réconfortant bref, le brunch parisien parfait ✨
📍 Le Café Pierre 2, boulevard de Magenta, Paris 10
👉 @lecafepierre
Qui vient bruncher avec moi ? 😋 Invitation",lecafepierre,GraphVideo,instagram.com/p/DSdKKhpjLiB/,,false,carlamoreau_____,instagram,,FOOD,false,,None,None,,,false
No title,"Gros coup de cœur pour ce pantalon 🤍 @halara_france 
Confort incroyable, coupe flatteuse et matière canon… je l’adore!
Si vous voulez vous faire plaisir🫶🏻
🎁 10 € offerts dès 99 € d’achat avec le code ❤️carlamr88 ❤️(valable sur tous les produits)
🔥 -20 % de réduction avec le code ✅carlam13✅ (non cumulable avec d’autres promotions)
Merci à @halara_official et @halara_france 💫
#halara #halara_fr #halarapantalon publicité",HALARA,GraphVideo,instagram.com/p/DSaaBStjPIv/,halara_france,true,carlamoreau_____,instagram,,Fast fashion,false,,None,None,,,false
No title,Visiblement @carlamoreau_____ a bien cerné les chroniqueurs de #TBTF 🤣,,GraphVideo,instagram.com/p/DSNMcb3iEoa/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"« Je peux comprendre ceux qui partent ! » ✈️
@carlamoreau_____ donne son avis sur les influenceurs qui quittent la France pour ne plus payer d'impôts 🌏

#TBT9, du lundi au vendredi à 18:45 sur W9 et M6+",,GraphVideo,instagram.com/p/DSLexC3EqJE/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"Invitée exceptionnelle dans #TBTF, @carlamoreau_____ partage ses conseils pour surmonter une rupture 🙏💔

« Tout Beau Tout Fun » avec @CyrilHanouna du lundi au vendredi de 15h à 18h en direct sur Fun Radio, funradio.fr et l’application Fun Radio 🩷 #TBTF",,GraphVideo,instagram.com/p/DSLDazyijIM/,,false,carlamoreau_____,instagram,,,false,,None,None,,,false
No title,"@FashionNova : 
Dakota Denim Jort Romper - Light Wash publicité",FASHIONNOVA,GraphSidecar,instagram.com/p/DSGIfWDjGWq/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
No title,"@FashionNova Blushing Over You Lace Satin Gown - Copper
Publicité",FASHIONNOVA,GraphVideo,instagram.com/p/DSDT3VdDLvJ/,,false,carlamoreau_____,instagram,Fast fashion,Fast fashion,false,,None,None,,,false
